"Supplier ID","Who Make Takes In","Deliveried Date ","Deliveried Time"
"7289227","Adolphus Carmine Semarke","2023-03-29 20:25:28.0"
"5146863","Niki Liza Grimmett","2023-05-25 22:01:44.0"
"1691251","Giraldo  Kitchinghan","2022-12-19 05:21:24.0"
"8161703","Aleta Robenia Eneas","2022-07-19 14:32:20.0"
"4409500","Bernice  Dragonette","2023-01-11 07:53:53.0"
"424199","Yovonnda  Pena","2022-10-29 09:19:51.0"
"1186909","Cacilie Myrilla Ralls","2022-06-10 20:30:14.0"
"8534457","Hesther Hedwig Krzyzanowski","2022-11-29 14:10:14.0"
"2639307","Saxe  Merrigans","2022-06-15 10:30:31.0"
"5238522","Robert  Mar","2023-01-24 19:21:51.0"
"721039","Alicia  Fosbraey","2022-09-13 22:01:10.0"
"4993933","Frederik Martin Blune","2023-03-09 08:21:30.0"
"588842","Norean  Davydychev","2022-10-03 16:50:45.0"
"8267196","Matelda  Yeowell","2022-07-13 23:27:21.0"
"6755698","Levon Erich Beachem","2022-12-16 17:15:35.0"
"3861853","Zebulon Kelley Cabrara","2022-09-30 01:27:53.0"
"9668992","Sherrie Casi Sambeck","2023-05-02 22:47:30.0"
"1903049","Kellie Eimile Gargett","2022-07-30 13:31:16.0"
"6512703","Yale Wadsworth Fuzzard","2022-12-22 18:39:02.0"
"8231122","Hayward  McMurty","2023-01-15 05:00:44.0"
"980208","Darla Ranique Hessle","2022-07-11 11:21:04.0"
"3643353","Tucky See Bolin","2022-11-04 18:15:57.0"
"830406","Nicholas Brion Berceros","2023-02-13 20:03:50.0"
"6246005","Chariot  Hutchinson","2022-08-01 12:56:56.0"
"9161790","Theo Jase Coite","2023-01-26 00:15:47.0"
"8779158","Barclay  Cousin","2022-10-15 08:49:29.0"
"2530032","Aleda Ermengarde Gresham","2023-05-11 17:41:09.0"
"6980558","Rubetta Gracia Christy","2022-12-22 04:48:41.0"
"3727670","Jerrie Isis Abramino","2022-09-19 17:29:11.0"
"603611","Jenine  Crowth","2023-02-28 11:22:32.0"
"6287785","Anderson Brnaby Galiford","2022-07-26 23:39:29.0"
