"Employee Id","Employee Status","Employee Salary","Employee DateIn","Name","Bdate","Address","Gender","Telephone","SSN","Employee Id","Employee Status","Employee Salary","Employee DateIn"
"5304484","Shoe Specialist","17242.2","2017-08-11","Adolphus Carmine Semarke","1999-08-03","19 Vermont Drive","Male","org.example.telephonenumber@73b10975","8910123"
"2401505","Product Specialist","19030.6","2020-03-08","Niki Liza Grimmett","2001-07-31","108 Browning Circle","Female","org.example.telephonenumber@62732be7","8185170"
"9237081","Window Arranging Specialist","14854.0","2005-06-22","Giraldo  Kitchinghan","1977-09-23","7956 Leroy Way","Male","org.example.telephonenumber@75e92bb7","8083015"
"6045149","Store Cleaning Officer","12441.5","2017-06-19","Aleta Robenia Eneas","2003-02-18","622 Grim Park","Female","org.example.telephonenumber@751bb780","5261856"
"7047051","Product Specialist","27713.2","2003-10-31","Bernice  Dragonette","1975-12-13","83 Ramsey Plaza","Female","org.example.telephonenumber@4bc9451b","8052719"
"6756925","Customer Service Representative","26864.2","2006-10-01","Yovonnda  Pena","1990-06-23","2 Golf Course Court","Female","org.example.telephonenumber@5a07ae2f","7240740"
"8175745","Shoe Specialist","29653.5","2005-09-13","Cacilie Myrilla Ralls","1984-03-10","38819 Sachtjen Court","Female","org.example.telephonenumber@23df7fad","3105948"
"9941289","Marketing and Communication Specialist","15793.8","2013-08-11","Hesther Hedwig Krzyzanowski","1979-09-28","90249 Tony Hill","Female","org.example.telephonenumber@3d405fe5","6068408"
"686263","Purchasing Specialist","25822.4","2012-04-06","Saxe  Merrigans","2003-04-13","15 Kim Point","Male","org.example.telephonenumber@290c266c","3256857"
"7435301","Marketing and Communication Specialist","12285.2","2010-06-14","Robert  Mar","1974-10-19","079 Jenna Center","Male","org.example.telephonenumber@2e8b24a1","2139362"
"2404034","Window Arranging Specialist","22824.9","2019-06-09","Alicia  Fosbraey","1988-06-20","8 Sloan Way","Female","org.example.telephonenumber@520ee6b3","5293969"
